School,State,Abbreviation,Points
Palo Alto HS,California,CA,178
Palo Verde HS,Nevada,NV,437
Palos Verdes Peninsula HS,California,CA,152
Paonia HS,Colorado,CO,33
Paradise Valley HS,Arizona,AZ,135
Park City HS,Utah,UT,99
Park Hill HS,Missouri,MO,331
Park Hill South HS,Missouri,MO,312
Park Vista Community HS,Florida,FL,67
Parker School,Hawaii,HI,131
Parkersburg HS,West Virginia,WV,14
Parkersburg South HS,West Virginia,WV,9
Parkview HS,Missouri,MO,222
Parkway Central HS,Missouri,MO,164
Parkway South HS,Missouri,MO,139
Parkway West HS,Missouri,MO,209
Parsons HS,Kansas,KS,61
Pascagoula HS,Mississippi,MS,86
Pascagoula HS,Mississippi,MS,86
Pattonville HS,Missouri,MO,155
Paul J Hagerty HS,Florida,FL,50
Paul R Wharton HS,Florida,FL,56
Pekin Comm HS,Illinois,IL,120
Pelham Memorial HS,New York,NY,49
Penn HS,Indiana,IN,275
Pennsbury HS,Pennsylvania,PA,169
Perry HS,Ohio,OH,409
Pflugerville HS,Texas,TX,136
Phoenix Country Day School,Arizona,AZ,145
Pine Creek HS,Colorado,CO,80
Pine View School,Florida,FL,206
Pinecrest HS,North Carolina,NC,160
Pinole Valley HS,California,CA,62
Pittsburg HS,Kansas,KS,259
Pittsburgh Central Catholic HS,Pennsylvania,PA,128
Pius X HS,Nebraska,NE,129
Plano Sr HS,Texas,TX,248
Plano West Sr HS,Texas,TX,156
Plymouth HS,Indiana,IN,352
Point Pleasant JR HS,West Virginia,WV,0
Poland Regional HS,Maine,ME,46
Poland Seminary HS,Ohio,OH,163
Poly Prep Country Day School,New York,NY,121
Polytechnic School,California,CA,116
Ponderosa HS,California,CA,62
Portage Central HS,Michigan,MI,45
Portage Northern HS,Michigan,MI,68
Portland HS,Tennessee,TN,88
Poudre HS,Colorado,CO,76
Pratt HS,Kansas,KS,175
Prattville HS,Alabama,AL,117
Prattville HS,Alabama,AL,117
President William McKinley HS,Hawaii,HI,28
Princeton HS,New Jersey,NJ,147
Princeton HS,Texas,TX,232
Prior Lake-Savage School-ISD719,Minnesota,MN,188
Prospect HS,Illinois,IL,232
Prosper HS,Texas,TX,154
Providence HS,North Carolina,NC,131
Pueblo West HS,Colorado,CO,251
Punahou School,Hawaii,HI,141
Puyallup HS,Washington,WA,83
Quigley Catholic HS,Pennsylvania,PA,113
R W Johnson HS,Georgia,GA,42
Raisbeck Aviation HS,Washington,WA,70
Ramsay HS,Alabama,AL,72
Ramsay HS,Alabama,AL,72
Randolph HS,New Jersey,NJ,163
Ransom Everglades Upper School,Florida,FL,87
Ravenwood HS,Tennessee,TN,184
Raymond Central HS,Nebraska,NE,94
Raymore-Peculiar HS,Missouri,MO,265
Raytown HS,Missouri,MO,206
Raytown South HS,Missouri,MO,279
Redlands HS,California,CA,171
Regis HS,New York,NY,800
Regis Jesuit HS,Colorado,CO,176
Renaissance Magnet HS,Idaho,ID,164
Reno HS,Nevada,NV,216
Republic HS,Missouri,MO,224
Reservoir HS,Maryland,MD,20
Resurrection Christian School,Colorado,CO,124
Richard B King HS,Texas,TX,93
Richardson HS,Texas,TX,136
Richardton-Taylor HS,North Dakota,ND,113
Richmond HS,Indiana,IN,38
Ridge HS,New Jersey,NJ,481
Ridgefield HS,Washington,WA,114
Rigby HS,Idaho,ID,153
Rio Grande HS,New Mexico,NM,112
Riverside HS,South Carolina,SC,411
Robert E Lee HS - Midland,Texas,TX,51
Rock Bridge HS,Missouri,MO,147
Rock Springs HS,Wyoming,WY,272
Rockhurst HS,Missouri,MO,158
Rockwood HS,Pennsylvania,PA,7
Rocky Mountain HS,Colorado,CO,127
Rocky Mountain HS,Idaho,ID,103
Ronald Reagan College Prep HS,Wisconsin,WI,138
Ronald Reagan HS,Texas,TX,241
Roosevelt HS,South Dakota,SD,230
Rosemount Sr HS,Minnesota,MN,241
Roslyn HS,New York,NY,114
Round Rock Christian Academy,Texas,TX,95
Rowan County Sr HS,Kentucky,KY,210
Rowland Hall-St Mark,Utah,UT,176
Royse City HS,Texas,TX,65
Rufus King HS,Wisconsin,WI,153
Ruston HS,Louisiana,LA,62
Sacred Heart Catholic School,Mississippi,MS,114
Sacred Heart Catholic School,Mississippi,MS,114
Sage Ridge School,Nevada,NV,75
Saint George's School,Washington,WA,29
Saint James School,Alabama,AL,144
Saint James School,Alabama,AL,144
Saint Mary's Hall HS,Texas,TX,238
Saipan International School,Northern Marina Islands,MP,5
Saipan Southern HS,Northern Marina Islands,MP,18
Salem Hills HS,Utah,UT,207
Salina High Central,Kansas,KS,276
Salina South HS,Kansas,KS,135
Saline HS,Michigan,MI,45
Salt Lake City West HS,Utah,UT,85
San Gabriel HS,California,CA,104
San Marcos HS,Texas,TX,87
San Marino HS,California,CA,355
Sandra Day O'Connor HS,Texas,TX,86
Sanger HS,California,CA,169
Santa Fe Preparatory School,New Mexico,NM,94
Sarasota HS,Florida,FL,76
Saratoga HS,California,CA,160
Savannah R3 HS,Missouri,MO,226
Sayre Area HS,Pennsylvania,PA,71
Scarborough HS,Maine,ME,42
Scarsdale HS,New York,NY,407
Schaumburg HS,Illinois,IL,339
Schurr HS,California,CA,116
Scottsdale Preparatory Academy,Arizona,AZ,97
Seaman HS,Kansas,KS,186
Seattle Academy Of Arts & Science,Washington,WA,161
Seminole HS,Texas,TX,148
Seneca HS,Missouri,MO,89
Seven Lakes HS,Texas,TX,309
Shady Side Academy,Pennsylvania,PA,106
Shawnee Heights HS,Kansas,KS,198
Shawnee Mission East HS,Kansas,KS,510
Shawnee Mission Northwest HS,Kansas,KS,240
Shawnee Mission West HS,Kansas,KS,213
Sheboygan South HS,Wisconsin,WI,123
Shelley HS,Idaho,ID,124
Shepton HS,Texas,TX,94
Sheridan HS,Wyoming,WY,69
Shrewsbury HS,Massachusetts,MA,315
Silver Lake HS,Kansas,KS,75
Silverado HS,Nevada,NV,113
Sioux City East HS,Iowa,IA,72
Sioux Falls Christian HS,South Dakota,SD,42
Sioux Falls Lincoln HS,South Dakota,SD,449
Sky View HS,Utah,UT,277
Skyline HS,Idaho,ID,212
Skyline HS,Utah,UT,204
Smoky Hill HS,Colorado,CO,139
Snohomish HS,Washington,WA,114
Solon HS,Ohio,OH,375
South Anchorage HS,Alaska,AK,139
South Lakes HS,Utah,VA,66
South Range HS,Ohio,OH,176
South Side HS,Indiana,IN,68
Southeast HS,Florida,FL,65
Southeast HS - Cherokee,Kansas,KS,101
Southern Lehigh HS,Pennsylvania,PA,100
Southmoore HS,Oklahoma,OK,106
Southport HS,Indiana,IN,41
Southside HS,South Carolina,SC,290
Spanish Springs HS,Nevada,NV,54
Spearfish HS,South Dakota,SD,129
Sprague HS,Oregon,OR,98
Spring Creek HS,Nevada,NV,138
Spring Hill HS,Kansas,KS,129
Spring Valley HS,Nevada,NV,173
Spring Woods HS,Texas,TX,232
St Agnes Academy,Texas,TX,186
St Albans HS,West Virginia,WV,0
St Andrew's Episcopal School,Mississippi,MS,198
St Andrew's Episcopal School,Mississippi,MS,198
St Croix Falls HS,Wisconsin,WI,20
St Francis HS,Minnesota,MN,92
St James Academy,Kansas,KS,84
St Mary's Colgan HS,Kansas,KS,63
St Mary's HS,California,CA,32
St Mary's HS,Colorado,CO,86
St Michael Albertville HS,Minnesota,MN,135
St Paul Academy & Summit School,Minnesota,MN,295
St Pius X Catholic HS,Georgia,GA,43
St Thomas Aquinas HS,Florida,FL,360
St Thomas Aquinas HS,Kansas,KS,87
St Thomas HS,Texas,TX,102
St Thomas More HS,Louisiana,LA,130
Staley HS,Missouri,MO,133
Stansbury HS,Utah,UT,100
Staples Motley HS,Minnesota,MN,93
Star Valley HS,Wyoming,WY,74
Starrs Mill HS,Georgia,GA,135
Stephen F Austin HS - Austin,Texas,TX,80
Stevens HS,South Dakota,SD,93
Stillwater Area HS,Minnesota,MN,128
Stockdale HS,California,CA,347
Stockton Collegiate International Schools,California,CA,106
Stow-Munroe Falls HS,Ohio,OH,319
Strath Haven HS,Pennsylvania,PA,131
Stuyvesant HS,New York,NY,394
Sudan HS,Texas,TX,56
Summit HS,Colorado,CO,63
Summit HS,New Jersey,NJ,343
Sumner Academy,Kansas,KS,292
Suncoast Comm HS,Florida,FL,232
Sunset HS,Oregon,OR,123
Sylvania Southview HS,Ohio,OH,220
Syosset HS,New York,NY,386
Syracuse HS,Utah,UT,91
Tahoma Senior HS,Washington,WA,147
Taipei American School,Tennessee,TW,13
Tampa-Jesuit HS,Florida,FL,58
Taos HS,New Mexico,NM,42
Tascosa HS,Texas,TX,129
Teurlings Catholic HS,Louisiana,LA,115
The Bear Creek School,Washington,WA,101
The Bronx High School Of Science,New York,NY,837
The Classical Academy,Colorado,CO,138
The Culver Academies,Indiana,IN,35
The Davidson Academy Of Nevada,Nevada,NV,53
The Harker School,California,CA,274
The Kiski School,Pennsylvania,PA,29
The Linsly School,West Virginia,WV,12
The Lovett School,Georgia,GA,70
The Meadows School,Nevada,NV,127
The Montgomery Academy,Alabama,AL,350
The Montgomery Academy,Alabama,AL,350
The Pembroke Hill School,Missouri,MO,306
The Quarry Lane School,California,CA,65
Thomas Jefferson HS,Washington,WA,107
Thomas Jefferson HS Science & Tech,Utah,VA,59
Timber Creek HS,Florida,FL,182
Tompkins HS,Texas,TX,180
Topeka HS,Kansas,KS,344
Topeka West HS,Kansas,KS,95
Towanda Jr-Sr HS,Pennsylvania,PA,85
Trinity Christian School,Hawaii,HI,62
Trinity HS,Pennsylvania,PA,49
Trinity Preparatory School,Florida,FL,204
Trinity Presbyterian School,Alabama,AL,78
Trinity Presbyterian School,Alabama,AL,78
Trinity Valley School,Texas,TX,94
Truman HS,Pennsylvania,PA,161
Tulsa Washington HS,Oklahoma,OK,248
Turlock HS,California,CA,180
Union Colony Preparatory School,Colorado,CO,76
Union HS,Oklahoma,OK,197
Union HS,Washington,WA,97
Unionville HS,Pennsylvania,PA,152
University HS,Illinois,IL,197
University HS,Washington,WA,88
University HS - Fresno,California,CA,195
University Laboratory School,Hawaii,HI,50
University School,Ohio,OH,179
Upper St Clair HS,Pennsylvania,PA,283
Ursuline HS,Ohio,OH,117
Valdosta HS,Georgia,GA,104
Valley Center HS,Kansas,KS,558
Valley City HS,North Dakota,ND,135
Vallivue HS,Idaho,ID,101
Valor Christian HS,Colorado,CO,154
Valparaiso HS,Indiana,IN,354
Van HS,Texas,TX,148
Vanguard College Prep School,Texas,TX,45
Vermilion HS,Ohio,OH,113
Vermillion HS,South Dakota,SD,34
Vestavia Hills HS,Alabama,AL,111
Vestavia Hills HS,Alabama,AL,111
Victoria East HS,Texas,TX,55
W B Ray HS,Texas,TX,131
Waccamaw HS,South Carolina,SC,42
Wadsworth City School,Ohio,OH,178
Walt Whitman HS,Maryland,MD,103
Walter Johnson HS,Maryland,MD,56
Waring School,Massachusetts,MA,82
Washburn Rural HS,Kansas,KS,493
Washington HS,South Dakota,SD,327
Washtenaw International HS,Michigan,MI,81
Watertown HS,South Dakota,SD,391
Waupaca HS,Wisconsin,WI,83
Wauseon HS,Ohio,OH,115
Wayzata HS,Minnesota,MN,159
Webb City HS,Missouri,MO,141
Weber HS,Utah,UT,119
Wekiva HS,Florida,FL,24
Wellington HS,Florida,FL,299
Wenatchee HS,Washington,WA,43
West Allegheny HS,Pennsylvania,PA,287
West Bend East HS,Wisconsin,WI,74
West Bend West HS,Wisconsin,WI,78
West Broward HS,Florida,FL,271
West Des Moines Valley HS,Iowa,IA,275
West Fargo HS,North Dakota,ND,144
West Fargo Sheyenne HS,North Dakota,ND,133
West Hardin HS,Texas,TX,69
West HS - Iowa City,Iowa,IA,108
West Lafayette HS,Indiana,IN,224
West Orange HS,Florida,FL,134
Westbury Senior HS,Texas,TX,159
Western HS,Florida,FL,518
Westlake HS,Texas,TX,113
Westminster School - Augusta,Georgia,GA,39
Westmoore HS,Oklahoma,OK,120
Westside HS,Texas,TX,160
Westview HS,Indiana,IN,29
Westview HS,Oregon,OR,477
Westwood HS,Texas,TX,448
Wheaton North HS,Illinois,IL,148
Wheaton Warrenville South HS,Illinois,IL,193
Wheeling Park HS,West Virginia,WV,69
White House HS,Tennessee,TN,71
Whitefish Bay HS,Wisconsin,WI,180
Whitesboro HS,Texas,TX,54
Whitestone HS,Alaska,AK,71
Whitmer HS,Ohio,OH,104
Wichita Collegiate Upper School,Kansas,KS,211
Wichita East HS,Kansas,KS,244
Widefield HS,Colorado,CO,115
Wilde Lake HS,Maryland,MD,31
Willard HS,Missouri,MO,411
William Fremd HS,Illinois,IL,187
William P Clements HS,Texas,TX,509
William T Dwyer HS,Florida,FL,86
Winston Churchill HS,Texas,TX,262
Wood River HS,Idaho,ID,169
Woodbury HS,Minnesota,MN,105
Woodcreek HS,California,CA,96
Woodland Park HS,Colorado,CO,75
Woodrow Wilson HS,Oregon,OR,84
Woods Cross HS,Utah,UT,103
Woodward Academy,Georgia,GA,169
Wooster HS,Ohio,OH,332
Worland HS,Wyoming,WY,110
Wylie Sr HS,Texas,TX,111
Yankton HS,South Dakota,SD,123
York HS,Maine,ME,24
Ysleta HS,Texas,TX,99
Yucaipa HS,California,CA,293
