code,tournament,bid,seed,rWon,school,gender,speaks,phouse,location,state,grad,numGender,facPhouse,facInstate,numInstate,trips,doubs,octas,quarters,semis,finals,elimsw,gotBid,facGotBid
Brookfield East AJ,Blake,Quarters,87,2,Brookfield East,male,108,0,Minnesota,Wisconsin,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Byram Hills JB,Blake,Quarters,25,4,Byram Hills,male,115.5,1,Minnesota,New York,2017,1,Powerhouse,outofstate,0,NA,1,1,0,-1,-1,0,1,Bid
Cambridge Rindge OS,Blake,Quarters,1,6,Cambridge Rindge and Latin,male,116.9,0,Minnesota,Massachusetts,2017,1,non-Powerhouse,outofstate,0,NA,1,1,1,0,-1,2,1,Bid
Collegiate DM,Blake,Quarters,34,4,Collegiate,male,113.1,0,Minnesota,New York,2017,1,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Evanston AJ,Blake,Quarters,69,2,Evanston Township,male,112.3,0,Minnesota,Illinois,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Evanston DF,Blake,Quarters,28,4,Evanston Township,male,114.98,0,Minnesota,Illinois,2017,1,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Evanston GH,Blake,Quarters,35,4,Evanston Township,male,112.9,0,Minnesota,Illinois,2017,1,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Ft. Lauderdale HB,Blake,Quarters,93,1,Ft. Lauderdale,female,108.7,0,Minnesota,Florida,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Lake Highland Prep JN,Blake,Quarters,39,3,Lake Highland Prep,male,115.3,1,Minnesota,Florida,2017,1,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Lake Highland Prep MC,Blake,Quarters,17,4,Lake Highland Prep,male,116.6,1,Minnesota,Florida,2017,1,Powerhouse,outofstate,0,NA,1,1,0,-1,-1,0,1,Bid
Lake Highland Prep MCh,Blake,Quarters,44,3,Lake Highland Prep,female,113.8,1,Minnesota,Florida,2017,0,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Lake Highland Prep SS,Blake,Quarters,53,3,Lake Highland Prep,female,112.8,1,Minnesota,Florida,2017,0,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
New Trier CM,Blake,Quarters,50,3,New Trier,female,113.1,0,Minnesota,Illinois,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Newark Science BA,Blake,Quarters,21,4,Newark Science,female,115.9,0,Minnesota,New Jersey,2017,0,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Newark Science SM,Blake,Quarters,76,2,Newark Science,female,111.5,0,Minnesota,New Jersey,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Oakwood North JW,Blake,Quarters,2,6,Oakwood School - North Hollywood,male,116.4,0,Minnesota,California,2017,1,non-Powerhouse,outofstate,0,NA,1,1,1,1,0,4,1,Bid
Oxbridge Beaches AWe,Blake,Quarters,71,2,Oxbridge Academy of the Palm Beaches,male,112.1,0,Minnesota,Florida,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Oxbridge Beaches NW,Blake,Quarters,54,3,Oxbridge Academy of the Palm Beaches,male,112.2,0,Minnesota,Florida,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Peninsula JL,Blake,Quarters,4,5,Peninsula,male,117.8,1,Minnesota,California,2017,1,Powerhouse,outofstate,0,NA,1,1,1,0,-1,2,1,Bid
Rosemount WL,Blake,Quarters,13,5,Rosemount,male,115.1,0,Minnesota,Minnesota,2017,1,non-Powerhouse,instate,1,NA,1,0,-1,-1,-1,-2,0,NoBid
Scarsdale BS,Blake,Quarters,61,3,Scarsdale,male,109.9,1,Minnesota,New York,2017,1,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Scarsdale GZ,Blake,Quarters,14,5,Scarsdale,female,112.7,1,Minnesota,New York,2017,0,Powerhouse,outofstate,0,NA,1,1,1,1,0,4,1,Bid
Scarsdale ML,Blake,Quarters,42,3,Scarsdale,male,114,1,Minnesota,New York,2017,1,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Scarsdale ZE,Blake,Quarters,30,4,Scarsdale,female,114.8,1,Minnesota,New York,2017,0,Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
St Thomas Academy NW,Blake,Quarters,100,0,St Thomas Academy/Visitation,male,110,0,Minnesota,Minnesota,2017,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
St Thomas Academy SK,Blake,Quarters,55,3,St Thomas Academy/Visitation,female,112,0,Minnesota,Minnesota,2017,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
St. Louis Park DA,Blake,Quarters,43,3,St. Louis Park,male,113.8,0,Minnesota,Minnesota,2017,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
St. Louis Park RS,Blake,Quarters,57,3,St. Louis Park,female,111.4,0,Minnesota,Minnesota,2017,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
WDM Valley BG,Blake,Quarters,26,4,West Des Moines Valley,male,115.3,1,Minnesota,Iowa,2017,1,Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
WDM Valley EM,Blake,Quarters,22,4,West Des Moines Valley,male,115.6,1,Minnesota,Iowa,2017,1,Powerhouse,outofstate,0,NA,1,1,1,0,-1,2,1,Bid
WDM Valley SC,Blake,Quarters,20,4,West Des Moines Valley,female,115.9,1,Minnesota,Iowa,2017,0,Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
WDM Valley TF,Blake,Quarters,5,5,West Des Moines Valley,male,117.6,1,Minnesota,Iowa,2017,1,Powerhouse,outofstate,0,NA,1,1,0,-1,-1,0,1,Bid
WDM Valley TG,Blake,Quarters,3,5,West Des Moines Valley,male,117.94,1,Minnesota,Iowa,2017,1,Powerhouse,outofstate,0,NA,1,1,1,1,1,5,1,Bid
Whitefish Bay AP,Blake,Quarters,74,2,Whitefish Bay,male,111.66,0,Minnesota,Wisconsin,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Whitefish Bay RD,Blake,Quarters,70,2,Whitefish Bay,male,112.3,0,Minnesota,Wisconsin,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Whitefish Bay WT,Blake,Quarters,67,2,Whitefish Bay,female,113.3,0,Minnesota,Wisconsin,2017,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Aberdeen Central AB,Blake,Quarters,90,1,Aberdeen Central,female,110.8,0,Minnesota,South Dakota,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Apple Valley CH,Blake,Quarters,32,4,Apple Valley,female,113.7,0,Minnesota,Minnesota,2016,0,non-Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
Apple Valley SO,Blake,Quarters,8,5,Apple Valley,female,116.6,0,Minnesota,Minnesota,2016,0,non-Powerhouse,instate,1,NA,1,0,-1,-1,-1,-2,0,NoBid
Blaine HP,Blake,Quarters,84,2,Blaine,female,108.8,0,Minnesota,Minnesota,2016,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Blaine KD,Blake,Quarters,68,2,Blaine,female,112.9,0,Minnesota,Minnesota,2016,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Bronx Science DR,Blake,Quarters,10,5,Bronx HS Of Science,male,116.3,0,Minnesota,New York,2016,1,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Brookfield East MM,Blake,Quarters,64,3,Brookfield East,male,109,0,Minnesota,Wisconsin,2016,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Byram Hills AW,Blake,Quarters,24,4,Byram Hills,male,115.5,1,Minnesota,New York,2016,1,Powerhouse,outofstate,0,NA,1,1,1,1,0,4,1,Bid
Byram Hills PE,Blake,Quarters,18,4,Byram Hills,male,116.1,1,Minnesota,New York,2016,1,Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Byram Hills SC,Blake,Quarters,9,5,Byram Hills,female,116.5,1,Minnesota,New York,2016,0,Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Cambridge Rindge PO,Blake,Quarters,11,5,Cambridge Rindge and Latin,female,116.2,0,Minnesota,Massachusetts,2016,0,non-Powerhouse,outofstate,0,NA,1,1,0,-1,-1,0,1,Bid
DuPont Manual XH,Blake,Quarters,38,3,DuPont Manual,female,116.1,0,Minnesota,Kentucky,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Eagan DD,Blake,Quarters,98,1,Eagan,male,103.68,0,Minnesota,Minnesota,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Eagan JL,Blake,Quarters,72,2,Eagan,male,111.7,0,Minnesota,Minnesota,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Eagan KM,Blake,Quarters,83,2,Eagan,female,109.5,0,Minnesota,Minnesota,2016,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Eagan NM,Blake,Quarters,96,1,Eagan,male,107.1,0,Minnesota,Minnesota,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Eagan TA,Blake,Quarters,81,2,Eagan,male,110.2,0,Minnesota,Minnesota,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Fargo Shanley KG,Blake,Quarters,82,2,Fargo Shanley,female,110.2,0,Minnesota,North Dakota,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Hawken NK,Blake,Quarters,23,4,Hawken,female,115.6,0,Minnesota,Ohio,2016,0,non-Powerhouse,outofstate,0,NA,1,1,0,-1,-1,0,1,Bid
Lexington AS,Blake,Quarters,6,5,Lexington,male,117.5,0,Minnesota,Massachusetts,2016,1,non-Powerhouse,outofstate,0,NA,1,1,1,0,-1,2,1,Bid
Lexington LW,Blake,Quarters,7,5,Lexington,female,116.7,0,Minnesota,Massachusetts,2016,0,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
New Trier LK,Blake,Quarters,12,5,New Trier,male,115.6,0,Minnesota,Illinois,2016,1,non-Powerhouse,outofstate,0,NA,1,1,0,-1,-1,0,1,Bid
New Trier NK,Blake,Quarters,36,4,New Trier,male,112.8,0,Minnesota,Illinois,2016,1,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Oxbridge Beaches BK,Blake,Quarters,33,4,Oxbridge Academy of the Palm Beaches,male,113.2,0,Minnesota,Florida,2016,1,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Roseville Area SL,Blake,Quarters,66,3,Roseville Area,male,108,0,Minnesota,Minnesota,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
St Thomas Academy AS,Blake,Quarters,78,2,St Thomas Academy/Visitation,female,111,0,Minnesota,Minnesota,2016,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
St Thomas Academy NB,Blake,Quarters,65,3,St Thomas Academy/Visitation,male,108.2,0,Minnesota,Minnesota,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Upper Arlington HW,Blake,Quarters,16,4,Upper Arlington,male,117.2,0,Minnesota,Ohio,2016,1,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
WDM Valley DR,Blake,Quarters,29,4,West Des Moines Valley,female,114.9,1,Minnesota,Iowa,2016,0,Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,0,NoBid
Ridge ST,Bronx,Octas,119,3,Ridge,female,139.4,0,New York,New Jersey,NA,0,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Collegiate SE,Bronx,Octas,154,2,Collegiate,male,136.6,0,New York,New York,NA,1,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Concord Carlisle DL,Bronx,Octas,62,4,Concord Carlisle,male,143,0,New York,NA,NA,1,non-Powerhouse,NA,NA,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Lake Mary AR,Bronx,Octas,152,2,Lake Mary,female,136.9,0,New York,NA,NA,0,non-Powerhouse,NA,NA,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Lake Mary CM,Bronx,Octas,170,1,Lake Mary,male,135.77,0,New York,NA,NA,1,non-Powerhouse,NA,NA,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Lake Mary DD,Bronx,Octas,165,1,Lake Mary,male,138,0,New York,NA,NA,1,non-Powerhouse,NA,NA,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Newtown AH,Bronx,Octas,92,3,Newtown,female,142.6,0,New York,NA,NA,0,non-Powerhouse,NA,NA,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Newtown EJ,Bronx,Octas,162,2,Newtown,female,133.8,0,New York,NA,NA,0,non-Powerhouse,NA,NA,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Brentwood EBl,Bronx,Octas,148,2,Brentwood,female,137.6,1,New York,California,2019,0,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Brentwood LR,Bronx,Octas,147,2,Brentwood,female,137.7,1,New York,California,2019,0,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Brentwood RY,Bronx,Octas,131,3,Brentwood,male,137.5,1,New York,California,2019,1,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Harvard-Westlake ER,Bronx,Octas,135,3,Harvard-Westlake,male,136.9,1,New York,California,2019,1,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Harvard-Westlake EZ,Bronx,Octas,158,2,Harvard-Westlake,male,136,1,New York,California,2019,1,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Harvard-Westlake JD,Bronx,Octas,121,3,Harvard-Westlake,male,139.28,1,New York,California,2019,1,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Harvard-Westlake MG,Bronx,Octas,90,4,Harvard-Westlake,male,137.4,1,New York,California,2019,1,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Harvard-Westlake NP,Bronx,Octas,125,3,Harvard-Westlake,male,138.6,1,New York,California,2019,1,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Harvard-Westlake SP,Bronx,Octas,130,3,Harvard-Westlake,male,137.7,1,New York,California,2019,1,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Harvard-Westlake VC,Bronx,Octas,104,3,Harvard-Westlake,male,141,1,New York,California,2019,1,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
West Des Moines Valley CT,Bronx,Octas,57,4,Des Moines Valley,male,143.1,1,New York,Iowa,2019,1,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Boca Raton Community OL,Bronx,Octas,168,1,Boca Raton Community,male,136.9,0,New York,Florida,2018,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Brentwood EL,Bronx,Octas,144,2,Brentwood,female,138.7,1,New York,California,2018,0,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Brentwood JD,Bronx,Octas,167,1,Brentwood,male,137.2,1,New York,California,2018,1,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Brentwood KM,Bronx,Octas,151,2,Brentwood,female,137.2,1,New York,California,2018,0,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Brentwood WJ,Bronx,Octas,132,3,Brentwood,male,137.4,1,New York,California,2018,1,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Byram Hills AG,Bronx,Octas,76,4,Byram Hills,male,141.2,1,New York,New York,2018,1,Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Cambridge Rindge and Latin SS,Bronx,Octas,138,2,Cambridge Rindge and Latin,male,140.2,0,New York,Massachusetts,2018,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Collegiate KY,Bronx,Octas,29,5,Collegiate,male,144.85,0,New York,New York,2018,1,non-Powerhouse,instate,1,0,-1,-1,-1,-1,-1,-5,0,NoBid
Collegiate MO,Bronx,Octas,166,1,Collegiate,male,137.3,0,New York,New York,2018,1,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Harrison BS,Bronx,Octas,86,4,Harrison,male,140.3,0,New York,New York,2018,1,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Harrison CS,Bronx,Octas,99,3,Harrison,male,141.4,0,New York,New York,2018,1,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Harrison LCo,Bronx,Octas,77,4,Harrison,female,141.2,0,New York,New York,2018,0,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Hunter College ML,Bronx,Octas,120,3,Hunter,female,139.3,0,New York,New York,2018,0,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Hunter College MS,Bronx,Octas,82,4,Hunter,female,140.8,0,New York,New York,2018,0,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Hunter College TC,Bronx,Octas,75,4,Hunter,female,141.3,0,New York,New York,2018,0,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Hunter College TF,Bronx,Octas,102,3,Hunter,male,141.1,0,New York,New York,2018,1,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Isidore Newman AJ,Bronx,Octas,175,0,Isidore Newman,male,135.5,0,New York,Louisianna,2018,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Isidore Newman LA,Bronx,Octas,142,2,Isidore Newman,female,138.8,0,New York,Louisianna,2018,0,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Lexington RW,Bronx,Octas,127,3,Lexington,male,138.1,0,New York,Massachusetts,2018,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Monticello AM,Bronx,Octas,160,2,Monticello,male,135.1,0,New York,New York,2018,1,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Montville AH,Bronx,Octas,149,2,Montville,male,137.5,0,New York,New Jersey,2018,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Montville AL,Bronx,Octas,143,2,Montville,male,138.8,0,New York,New Jersey,2018,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Montville AS,Bronx,Octas,140,2,Montville,male,139.33,0,New York,New Jersey,2018,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Montville EJ,Bronx,Octas,146,2,Montville,male,138.1,0,New York,New Jersey,2018,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Montville KL,Bronx,Octas,163,2,Montville,male,132,0,New York,New Jersey,2018,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Nova Sr SS,Bronx,Octas,174,1,Nova Sr,male,132.9,0,New York,Florida,2018,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Randolph AH,Bronx,Octas,137,2,Randolph,female,140.6,0,New York,New Jersey,2018,0,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Ridge JH,Bronx,Octas,101,3,Ridge,female,141.3,0,New York,New Jersey,2018,0,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Stuyvesant PY,Bronx,Octas,79,4,Stuyvesant,female,140.9,0,New York,New York,2018,0,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Stuyvesant SH,Bronx,Octas,169,1,Stuyvesant,male,135.9,0,New York,New York,2018,1,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Success Academy SC,Bronx,Octas,105,3,Success Academy,male,140.98,0,New York,New York,2018,1,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Syosset JA,Bronx,Octas,159,2,Syosset,female,135.7,0,New York,New York,2018,0,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Walt Whitman CC,Bronx,Octas,55,4,Walt Whitman,female,143.4,1,New York,Maryland,2018,0,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Westford VA,Bronx,Octas,172,1,Westford,male,135.2,0,New York,Massachusetts,2018,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Bettendorf RN,Bronx,Octas,141,2,Bettendorf,male,139,0,New York,Iowa,2017,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Bridgewater-Raritan I JC,Bronx,Octas,155,2,Bridgewater-Raritan I,male,136.5,0,New York,New Jersey,2017,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Bridgewater-Raritan I RK,Bronx,Octas,112,3,Bridgewater-Raritan I,female,140,0,New York,New Jersey,2017,0,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Byram Hills JB,Bronx,Octas,61,4,Byram Hills,male,143,1,New York,New York,2017,1,Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Byram Hills JBi,Bronx,Octas,129,3,Byram Hills,male,137.7,1,New York,New York,2017,1,Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Byram Hills RP,Bronx,Octas,117,3,Byram Hills,male,139.4,1,New York,New York,2017,1,Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Cambridge Rindge and Latin OS,Bronx,Octas,23,5,Cambridge Rindge and Latin,male,145.4,0,New York,Massachusetts,2017,1,non-Powerhouse,outofstate,0,1,0,-1,-1,-1,-1,-3,0,NoBid
Collegiate DK,Bronx,Octas,41,5,Collegiate,male,143,0,New York,New York,2017,1,non-Powerhouse,instate,1,0,-1,-1,-1,-1,-1,-5,0,NoBid
Collegiate DM,Bronx,Octas,72,4,Collegiate,male,141.6,0,New York,New York,2017,1,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Collegiate EW,Bronx,Octas,45,4,Collegiate,male,144.8,0,New York,New York,2017,1,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Collegiate HL,Bronx,Octas,116,3,Collegiate,male,139.5,0,New York,New York,2017,1,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Cypress Bay SD,Bronx,Octas,95,3,Cypress Bay,male,141.9,1,New York,Florida,2017,1,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Cypress Bay SH,Bronx,Octas,171,1,Cypress Bay,male,135.6,1,New York,Florida,2017,1,Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
George Washington CO JS,Bronx,Octas,114,3,George Washington CO,female,139.7,0,New York,Colorado,2017,0,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Harrison AEl,Bronx,Octas,68,4,Harrison,male,142.1,0,New York,New York,2017,1,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Harrison MZi,Bronx,Octas,39,5,Harrison,male,143.9,0,New York,New York,2017,1,non-Powerhouse,instate,1,1,0,-1,-1,-1,-1,-3,0,NoBid
Harrison RP,Bronx,Octas,14,5,Harrison,male,147,0,New York,New York,2017,1,non-Powerhouse,instate,1,1,1,0,-1,-1,-1,-1,1,Bid
Hendrick Hudson MG,Bronx,Octas,81,4,Hendrick Hudson,male,140.8,0,New York,New York,2017,1,non-Powerhouse,instate,1,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Hunter College AK,Bronx,Octas,20,5,Hunter,female,146.1,0,New York,New York,2017,0,non-Powerhouse,instate,1,1,0,-1,-1,-1,-1,-3,0,NoBid
Hunter College NP,Bronx,Octas,19,5,Hunter,female,146.2,0,New York,New York,2017,0,non-Powerhouse,instate,1,1,1,0,-1,-1,-1,-1,1,Bid
Lake Highland Prep KP,Bronx,Octas,42,5,Lake Highland Prep,female,142.8,1,New York,Florida,2017,0,Powerhouse,outofstate,0,1,0,-1,-1,-1,-1,-3,0,NoBid
Lake Highland Prep MC,Bronx,Octas,3,6,Lake Highland Prep,male,147.5,1,New York,Florida,2017,1,Powerhouse,outofstate,0,1,1,1,1,0,-1,3,1,Bid
Lexington KB,Bronx,Octas,24,5,Lexington,male,145.4,0,New York,Massachusetts,2017,1,non-Powerhouse,outofstate,0,0,-1,-1,-1,-1,-1,-5,0,NoBid
Lexington NB,Bronx,Octas,22,5,Lexington,male,145.5,0,New York,Massachusetts,2017,1,non-Powerhouse,outofstate,0,1,0,-1,-1,-1,-1,-3,0,NoBid
Lexington NG,Bronx,Octas,88,4,Lexington,male,139.8,0,New York,Massachusetts,2017,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Lexington VV,Bronx,Octas,128,3,Lexington,male,138.1,0,New York,Massachusetts,2017,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Marriotts Ridge QC,Bronx,Octas,123,3,Marriotts Ridge,female,139,0,New York,Maryland,2017,0,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Millburn AL,Bronx,Octas,110,3,Millburn,male,140.5,0,New York,New Jersey,2017,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Millburn CS,Bronx,Octas,58,4,Millburn,male,143.1,0,New York,New Jersey,2017,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Montville RU,Bronx,Octas,83,4,Montville,male,140.7,0,New York,New Jersey,2017,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
Newark Science DA,Bronx,Octas,48,4,Newark Science,male,144.03,0,New York,New Jersey,2017,1,non-Powerhouse,outofstate,0,-1,-1,-1,-1,-1,-1,-6,0,NoBid
