"","code","tournament","bid","seed","rWon","school","gender","speaks","phouse","location","state","grad","numGender","facPhouse","facInstate","numInstate","trips","doubs","octas","quarters","semis","finals","elimsw"
"597","George Washington CO CB","Alta","Quarters",69,3,"George Washington CO","female",110.6,0,"Utah","Colorado","2017",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"598","George Washington CO JS","Bronx","Octas",114,3,"George Washington CO","female",139.7,0,"New York","Colorado","2017",0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"599","George Washington CO KB","Bronx","Octas",122,3,"George Washington CO","female",139.1,0,"New York","Colorado","2016",0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"600","George Washington KB","Glenbrooks","Octas",129,3,"George Washington","female",139.1,0,"Illinois","Colorado","2016",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"601","GH AB","Central Valley","Finals",1,6,"Gig Harbor","male",116.6,0,"Washington","Washington","2016",1,"non-Powerhouse","instate",1,NA,NA,1,1,1,1,4
"602","GH CA","Central Valley","Finals",6,5,"Gig Harbor","male",111.5,0,"Washington","Washington","2016",1,"non-Powerhouse","instate",1,NA,NA,0,-1,-1,-1,-3
"603","GH CM","Central Valley","Finals",2,6,"Gig Harbor","male",116.3,0,"Washington","Washington","2017",1,"non-Powerhouse","instate",1,NA,NA,1,1,1,0,3
"604","GH EA","Central Valley","Finals",4,5,"Gig Harbor","male",117.6,0,"Washington","Washington","2017",1,"non-Powerhouse","instate",1,NA,NA,1,1,0,-1,1
"605","GH KG","Central Valley","Finals",14,4,"Gig Harbor","female",111.1,0,"Washington","Washington","2018",0,"non-Powerhouse","instate",1,NA,NA,0,-1,-1,-1,-3
"606","GH ND","Central Valley","Finals",24,3,"Gig Harbor","female",111.1,0,"Washington","Washington","2017",0,"non-Powerhouse","instate",1,NA,NA,-1,-1,-1,-1,-4
"607","GH SA","Central Valley","Finals",8,4,"Gig Harbor","female",116.1,0,"Washington","Washington","2017",0,"non-Powerhouse","instate",1,NA,NA,0,-1,-1,-1,-3
"608","GH ZW","Central Valley","Finals",23,3,"Gig Harbor","male",111.3,0,"Washington","Washington","2016",1,"non-Powerhouse","instate",1,NA,NA,-1,-1,-1,-1,-4
"609","Gilmour Academy SW","Glenbrooks","Octas",34,5,"Gilmour","male",145,0,"Illinois","Ohio","2018",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"610","Gilmour SW","Beltway","Semis",11,4,"Gilmour","male",115.3,0,"Maryland","Ohio","2018",1,"non-Powerhouse","outofstate",0,NA,1,0,-1,-1,-1,-2
"611","Gilmour SW","Wake Forest","Finals",8,4,"Gilmour","male",116.5,0,"North Carolina","Ohio","2018",1,"non-Powerhouse","outofstate",0,NA,1,0,-1,-1,-1,-2
"612","Gonzaga Prep MA","College Prep","Quarters",108,1,"Gonzaga Prep","male",107.2,0,"California","Washington","2019",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"613","Gonzaga Prep SC","College Prep","Quarters",97,2,"Gonzaga Prep","male",110.3,0,"California","Washington","2016",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"614","GP GK","Central Valley","Finals",44,1,"Gonzaga Prep","male",108.9,0,"Washington","Washington","2018",1,"non-Powerhouse","instate",1,NA,NA,-1,-1,-1,-1,-4
"615","GP MA","Central Valley","Finals",16,4,"Gonzaga Prep","male",109.2,0,"Washington","Washington","2019",1,"non-Powerhouse","instate",1,NA,NA,0,-1,-1,-1,-3
"616","GP RO","Central Valley","Finals",29,3,"Gonzaga Prep","male",108,0,"Washington","Washington","2018",1,"non-Powerhouse","instate",1,NA,NA,-1,-1,-1,-1,-4
"617","GP SC","Central Valley","Finals",10,4,"Gonzaga Prep","male",114.3,0,"Washington","Washington","2016",1,"non-Powerhouse","instate",1,NA,NA,0,-1,-1,-1,-3
"618","GP TJ","Central Valley","Finals",19,3,"Gonzaga Prep","male",114,0,"Washington","Washington","2017",1,"non-Powerhouse","instate",1,NA,NA,-1,-1,-1,-1,-4
"619","Grantsville DC","Alta","Quarters",90,2,"Grantsville","male",109.5,0,"Utah","Utah","2018",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"620","Grapevine NS","Greenhill","Octas",82,1,"Grapevine","male",109.7,0,"Texas","Texas","2016",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"621","Grapevine NS","St. Marks","Octas",79,2,"Grapevine","male",111.7,0,"Texas","Texas","2016",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"622","Grapevine PT","St. Marks","Octas",69,2,"Grapevine","male",113.6,0,"Texas","Texas","2016",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"623","Grapevine PTe","Greenhill","Octas",55,3,"Grapevine","male",112.4,0,"Texas","Texas","2016",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"624","Green River AA","Alta","Quarters",96,2,"Green River","female",107.8,0,"Utah","Wyoming","2019",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"625","Green River AG","Alta","Quarters",83,2,"Green River","female",111.2,0,"Utah","Wyoming","2018",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"626","Green River CK","Alta","Quarters",114,1,"Green River","male",104,0,"Utah","Wyoming","2018",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"627","Green River DH","Alta","Quarters",75,3,"Green River","male",108,0,"Utah","Wyoming","2018",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"628","Green River KB","Alta","Quarters",104,1,"Green River","female",110.1,0,"Utah","Wyoming","2019",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"629","Green River MM","Alta","Quarters",116,0,"Green River","female",109.7,0,"Utah","Wyoming","2019",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"630","Green River RH","Alta","Quarters",103,1,"Green River","female",110.4,0,"Utah","Wyoming","2019",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"631","Green River SK","Alta","Quarters",105,1,"Green River","male",110.1,0,"Utah","Wyoming","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"632","Greenhill BB","Grapevine","Semis",73,2,"Greenhill","female",83.6,1,"Texas","Texas","2017",0,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"633","Greenhill BE","Apple Valley","Octas",4,6,"Greenhill","male",145.82,1,"Minnesota","Texas","2016",1,"Powerhouse","outofstate",0,NA,1,1,1,1,1,5
"634","Greenhill BE","Glenbrooks","Octas",3,7,"Greenhill","male",147.2,1,"Illinois","Texas","2016",1,"Powerhouse","outofstate",0,NA,1,1,1,1,1,5
"635","Greenhill BE","Grapevine","Semis",1,5,"Greenhill","male",89,1,"Texas","Texas","2016",1,"Powerhouse","instate",1,NA,1,1,1,0,-1,2
"636","Greenhill BE","Meadows","Quarters",2,6,"Greenhill","male",120.37,1,"Nevada","Texas","2016",1,"Powerhouse","outofstate",0,NA,1,1,1,1,1,5
"637","Greenhill BE","St. Marks","Octas",1,6,"Greenhill","male",118.9,1,"Texas","Texas","2016",1,"Powerhouse","instate",1,NA,1,1,1,1,1,5
"638","Greenhill GB","Apple Valley","Octas",9,6,"Greenhill","male",145.1,1,"Minnesota","Texas","2016",1,"Powerhouse","outofstate",0,NA,1,1,0,-1,-1,0
"639","Greenhill GB","Glenbrooks","Octas",10,6,"Greenhill","male",146.6,1,"Illinois","Texas","2016",1,"Powerhouse","outofstate",0,NA,1,1,0,-1,-1,0
"640","Greenhill GB","Grapevine","Semis",7,4,"Greenhill","male",89,1,"Texas","Texas","2016",1,"Powerhouse","instate",1,NA,1,0,-1,-1,-1,-2
"641","Greenhill GB","Meadows","Quarters",7,5,"Greenhill","male",119.8,1,"Nevada","Texas","2016",1,"Powerhouse","outofstate",0,NA,1,1,0,-1,-1,0
"642","Greenhill GB","St. Marks","Octas",2,6,"Greenhill","male",116.7,1,"Texas","Texas","2016",1,"Powerhouse","instate",1,NA,1,1,1,1,1,5
"643","Greenhill SA","Apple Valley","Octas",107,2,"Greenhill","female",142.3,1,"Minnesota","Texas","2018",0,"Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"644","Greenhill SA","Grapevine","Semis",66,2,"Greenhill","female",84.2,1,"Texas","Texas","2018",0,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"645","Greenhill SA","St. Marks","Octas",64,3,"Greenhill","female",111.3,1,"Texas","Texas","2018",0,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"646","Greenhill SK","Apple Valley","Octas",76,3,"Greenhill","female",142.1,1,"Minnesota","Texas","2018",0,"Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"647","Greenhill SK","Grapevine","Semis",67,2,"Greenhill","female",84.1,1,"Texas","Texas","2018",0,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"648","Greenhill SK","St. Marks","Octas",62,3,"Greenhill","female",111.9,1,"Texas","Texas","2018",0,"Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"649","Greenhill VA","Apple Valley","Octas",7,6,"Greenhill","male",145.5,1,"Minnesota","Texas","2016",1,"Powerhouse","outofstate",0,NA,1,0,-1,-1,-1,-2
"650","Greenhill VA","Glenbrooks","Octas",14,5,"Greenhill","male",147.9,1,"Illinois","Texas","2016",1,"Powerhouse","outofstate",0,NA,1,1,1,0,-1,2
"651","Greenhill VA","Meadows","Quarters",4,5,"Greenhill","male",121.33,1,"Nevada","Texas","2016",1,"Powerhouse","outofstate",0,NA,1,1,1,1,1,5
"652","Greenhill VA","St. Marks","Octas",6,5,"Greenhill","male",116.7,1,"Texas","Texas","2016",1,"Powerhouse","instate",1,NA,1,1,1,0,-1,2
"653","Guyer RS","UT","Semis",33,4,"Guyer","male",86.2,0,"Texas","Texas","2017",1,"non-Powerhouse","instate",1,1,0,-1,-1,-1,-1,-3
"654","Half Hollow Hills FB","Princeton","Semis",126,2,"Half Hollow Hills","female",108.9,0,"New Jersey","New York","2017",0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"655","Half Hollow Hills LT","Princeton","Semis",101,2,"Half Hollow Hills","female",112.5,0,"New Jersey","New York","2016",0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"656","Half Hollow Hills ML","Princeton","Semis",115,2,"Half Hollow Hills","female",110.4,0,"New Jersey","New York",NA,0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"657","Half Hollow Hills MT","Princeton","Semis",19,5,"Half Hollow Hills","male",113.5,0,"New Jersey","New York","2016",1,"non-Powerhouse","outofstate",0,0,-1,-1,-1,-1,-1,-5
"658","Half Hollow Hills NI","Princeton","Semis",76,3,"Half Hollow Hills","male",112.8,0,"New Jersey","New York","2018",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"659","Half Hollow Hills SA","Princeton","Semis",142,1,"Half Hollow Hills","female",107.5,0,"New Jersey","New York",NA,0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"660","Hallsv KS","UT","Semis",142,2,"Hallsville","male",83.8,0,"Texas","Texas","2017",1,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"661","Harker AM","Hollywood","Finals",57,1,"Harker","female",110.8,0,"California","California",NA,0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"662","Harker CZ","Hollywood","Finals",36,3,"Harker","female",112.4,0,"California","California",NA,0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"663","Harker EM","Meadows","Quarters",50,2,"Harker","female",115.6,0,"Nevada","California","2017",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"664","Harker KQ","College Prep","Quarters",41,3,"Harker","female",116.5,0,"California","California","2016",0,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"665","Harker KQ","Glenbrooks","Octas",64,4,"Harker","female",143.7,0,"Illinois","California","2016",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"666","Harker KQ","Greenhill","Octas",34,3,"Harker","female",115,0,"Texas","California","2016",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"667","Harker KQ","Meadows","Quarters",23,4,"Harker","female",118.1,0,"Nevada","California","2016",0,"non-Powerhouse","outofstate",0,NA,1,0,-1,-1,-1,-2
"668","Harker KQ","St. Marks","Octas",16,4,"Harker","female",115.7,0,"Texas","California","2016",0,"non-Powerhouse","outofstate",0,NA,1,0,-1,-1,-1,-2
"669","Harker KS","College Prep","Quarters",105,1,"Harker","female",111,0,"California","California","2019",0,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"670","Harker KS","Hollywood","Finals",48,2,"Harker","female",111.5,0,"California","California","2019",0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"671","Harker ML","College Prep","Quarters",73,2,"Harker","male",114.5,0,"California","California","2018",1,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"672","Harker ML","Hollywood","Finals",34,3,"Harker","male",112.8,0,"California","California","2018",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"673","Harker MS","College Prep","Quarters",23,4,"Harker","male",115.6,0,"California","California","2018",1,"non-Powerhouse","instate",1,1,0,-1,-1,-1,-1,-3
"674","Harker MS","Glenbrooks","Octas",117,3,"Harker","male",141.1,0,"Illinois","California","2018",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"675","Harker MS","St. Marks","Octas",40,3,"Harker","male",115.1,0,"Texas","California","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"676","Harker NT","College Prep","Quarters",70,3,"Harker","female",111.7,0,"California","California","2018",0,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"677","Harker RX","College Prep","Quarters",6,5,"Harker","male",117.1,0,"California","California","2017",1,"non-Powerhouse","instate",1,1,0,-1,-1,-1,-1,-3
"678","Harker RX","Glenbrooks","Octas",112,3,"Harker","male",141.7,0,"Illinois","California","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"679","Harker SL","Alta","Quarters",40,4,"Harker","female",112.3,0,"Utah","California","2018",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"680","Harker SL","College Prep","Quarters",66,3,"Harker","female",112.5,0,"California","California","2018",0,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"681","Harker SL","Meadows","Quarters",42,3,"Harker","female",115.53,0,"Nevada","California","2018",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"682","Harker SN","College Prep","Quarters",64,3,"Harker","male",112.7,0,"California","California","2019",1,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"683","Harker SN","Hollywood","Finals",21,4,"Harker","male",113,0,"California","California","2019",1,"non-Powerhouse","instate",1,NA,0,-1,-1,-1,-1,-4
"684","Harker SP","College Prep","Quarters",9,5,"Harker","male",116.6,0,"California","California","2017",1,"non-Powerhouse","instate",1,1,1,0,-1,-1,-1,-1
"685","Harker SP","Glenbrooks","Octas",48,4,"Harker","male",145,0,"Illinois","California","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"686","Harker SP","Greenhill","Octas",16,4,"Harker","male",115.6,0,"Texas","California","2017",1,"non-Powerhouse","outofstate",0,NA,1,0,-1,-1,-1,-2
"687","Harker SP","Hollywood","Finals",50,2,"Harker","male",111.3,0,"California","California","2016",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"688","Harker SP","St. Marks","Octas",30,4,"Harker","male",114.32,0,"Texas","California","2017",1,"non-Powerhouse","outofstate",0,NA,0,-1,-1,-1,-1,-4
"689","Harker SS","Hollywood","Finals",52,2,"Harker","male",110.4,0,"California","California",NA,1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"690","Harker ZD","Grapevine","Semis",41,3,"Harker","male",85.1,0,"Texas","California","2016",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"691","Harker ZD","Greenhill","Octas",60,2,"Harker","male",113.7,0,"Texas","California","2016",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"692","Harrison AE","Princeton","Semis",42,4,"Harrison","male",114.3,0,"New Jersey","New York","2017",1,"non-Powerhouse","outofstate",0,0,-1,-1,-1,-1,-1,-5
"693","Harrison AE","Scarsdale","Semis",35,3,"Harrison","male",113.5,0,"New York","New York","2017",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"694","Harrison AE","Yale","Quarters",137,1,"Harrison","male",110.5,0,"Connecticut","New York","2017",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"695","Harrison AEl","Bronx","Octas",68,4,"Harrison","male",142.1,0,"New York","New York","2017",1,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"696","Harrison BS","Bronx","Octas",86,4,"Harrison","male",140.3,0,"New York","New York","2018",1,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"697","Harrison BS","Princeton","Semis",73,3,"Harrison","male",113,0,"New Jersey","New York","2018",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"698","Harrison BS","Scarsdale","Semis",40,3,"Harrison","male",113.1,0,"New York","New York","2018",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"699","Harrison CS","Bronx","Octas",99,3,"Harrison","male",141.4,0,"New York","New York","2018",1,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"700","Harrison CS","Princeton","Semis",38,4,"Harrison","male",114.5,0,"New Jersey","New York","2018",1,"non-Powerhouse","outofstate",0,0,-1,-1,-1,-1,-1,-5
"701","Harrison CS","Scarsdale","Semis",54,2,"Harrison","male",111.1,0,"New York","New York","2018",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"702","Harrison EA","Apple Valley","Octas",8,6,"Harrison","female",145.4,0,"Minnesota","New York","2016",0,"non-Powerhouse","outofstate",0,NA,1,0,-1,-1,-1,-2
"703","Harrison EA","Bronx","Octas",13,5,"Harrison","female",147.7,0,"New York","New York","2016",0,"non-Powerhouse","instate",1,1,1,0,-1,-1,-1,-1
"704","Harrison EA","Glenbrooks","Octas",50,4,"Harrison","female",144.9,0,"Illinois","New York","2016",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"705","Harrison EA","Greenhill","Octas",7,5,"Harrison","female",116.8,0,"Texas","New York","2016",0,"non-Powerhouse","outofstate",0,NA,1,0,-1,-1,-1,-2
"706","Harrison EB","Princeton","Semis",30,4,"Harrison","male",115.3,0,"New Jersey","New York","2016",1,"non-Powerhouse","outofstate",0,1,0,-1,-1,-1,-1,-3
"707","Harrison EB","Scarsdale","Semis",34,3,"Harrison","male",113.6,0,"New York","New York","2016",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"708","Harrison EB","Yale","Quarters",49,4,"Harrison","male",113.4,0,"Connecticut","New York","2016",1,"non-Powerhouse","outofstate",0,1,0,-1,-1,-1,-1,-3
"709","Harrison KK","Apple Valley","Octas",6,6,"Harrison","female",145.7,0,"Minnesota","New York","2016",0,"non-Powerhouse","outofstate",0,NA,1,0,-1,-1,-1,-2
"710","Harrison KK","Bronx","Octas",46,4,"Harrison","female",144.5,0,"New York","New York","2016",0,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"711","Harrison KK","Glenbrooks","Octas",44,4,"Harrison","female",146.8,0,"Illinois","New York","2016",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"712","Harrison KK","Princeton","Semis",3,6,"Harrison","female",117.7,0,"New Jersey","New York","2016",0,"non-Powerhouse","outofstate",0,1,1,0,-1,-1,-1,-1
"713","Harrison KK","Valley","Octas",14,5,"Harrison","female",115.8,0,"Iowa","New York","2016",0,"non-Powerhouse","outofstate",0,1,1,0,-1,-1,-1,-1
"714","Harrison KK","Yale","Quarters",24,4,"Harrison","female",116.6,0,"Connecticut","New York","2016",0,"non-Powerhouse","outofstate",0,1,0,-1,-1,-1,-1,-3
"715","Harrison LC","Beltway","Semis",39,2,"Harrison","female",112,0,"Maryland","New York","2018",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"716","Harrison LC","Princeton","Semis",51,4,"Harrison","female",113.1,0,"New Jersey","New York","2018",0,"non-Powerhouse","outofstate",0,0,-1,-1,-1,-1,-1,-5
"717","Harrison LC","Ridge","Finals",31,2,"Harrison","female",86.5,0,"New Jersey","New York","2018",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"718","Harrison LC","Scarsdale","Semis",33,3,"Harrison","female",113.7,0,"New York","New York","2018",0,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"719","Harrison LC","Valley","Octas",67,3,"Harrison","female",113.08,0,"Iowa","New York","2018",0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"720","Harrison LCo","Bronx","Octas",77,4,"Harrison","female",141.2,0,"New York","New York","2018",0,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"721","Harrison MZ","Beltway","Semis",15,4,"Harrison","male",114.6,0,"Maryland","New York","2017",1,"non-Powerhouse","outofstate",0,NA,1,0,-1,-1,-1,-2
"722","Harrison MZ","Princeton","Semis",34,4,"Harrison","male",114.9,0,"New Jersey","New York","2017",1,"non-Powerhouse","outofstate",0,0,-1,-1,-1,-1,-1,-5
"723","Harrison MZ","Scarsdale","Semis",10,4,"Harrison","male",116.3,0,"New York","New York","2017",1,"non-Powerhouse","instate",1,NA,0,-1,-1,-1,-1,-4
"724","Harrison MZ","Yale","Quarters",39,4,"Harrison","male",114.6,0,"Connecticut","New York","2017",1,"non-Powerhouse","outofstate",0,0,-1,-1,-1,-1,-1,-5
"725","Harrison MZi","Bronx","Octas",39,5,"Harrison","male",143.9,0,"New York","New York","2017",1,"non-Powerhouse","instate",1,1,0,-1,-1,-1,-1,-3
"726","Harrison RP","Apple Valley","Octas",12,5,"Harrison","male",146.8,0,"Minnesota","New York","2017",1,"non-Powerhouse","outofstate",0,NA,1,1,0,-1,-1,0
"727","Harrison RP","Bronx","Octas",14,5,"Harrison","male",147,0,"New York","New York","2017",1,"non-Powerhouse","instate",1,1,1,0,-1,-1,-1,-1
"728","Harrison RP","Glenbrooks","Octas",23,5,"Harrison","male",146.1,0,"Illinois","New York","2017",1,"non-Powerhouse","outofstate",0,NA,1,1,0,-1,-1,0
"729","Harrison RP","Greenhill","Octas",20,4,"Harrison","male",115.2,0,"Texas","New York","2017",1,"non-Powerhouse","outofstate",0,NA,0,-1,-1,-1,-1,-4
"730","Harrison RP","Holy Cross","Finals",1,6,"Harrison","male",175.6,0,"Louisianna","New York","2017",1,"non-Powerhouse","outofstate",0,NA,NA,1,0,-1,-1,-1
"731","Harrison RP","Ridge","Finals",9,3,"Harrison","male",87.3,0,"New Jersey","New York","2017",1,"non-Powerhouse","outofstate",0,NA,1,1,1,0,-1,2
"732","Harrison RP","Scarsdale","Semis",29,3,"Harrison","male",115.2,0,"New York","New York","2017",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"733","Harrison RP","Valley","Octas",43,4,"Harrison","male",114.1,0,"Iowa","New York","2017",1,"non-Powerhouse","outofstate",0,1,0,-1,-1,-1,-1,-3
"734","Harrison SO","Apple Valley","Octas",33,5,"Harrison","female",143.5,0,"Minnesota","New York","2017",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"735","Harrison SO","Ridge","Finals",13,3,"Harrison","female",86.5,0,"New Jersey","New York","2017",0,"non-Powerhouse","outofstate",0,NA,1,1,0,-1,-1,0
"736","Harrison SO","Yale","Quarters",42,4,"Harrison","female",114,0,"Connecticut","New York","2017",0,"non-Powerhouse","outofstate",0,1,0,-1,-1,-1,-1,-3
"737","Harrison SR","Apple Valley","Octas",16,5,"Harrison","female",146.1,0,"Minnesota","New York","2016",0,"non-Powerhouse","outofstate",0,NA,1,0,-1,-1,-1,-2
"738","Harrison SR","Bronx","Octas",32,5,"Harrison","female",144.6,0,"New York","New York","2016",0,"non-Powerhouse","instate",1,1,1,1,1,1,0,5
"739","Harrison SR","Glenbrooks","Octas",17,5,"Harrison","female",146.7,0,"Illinois","New York","2016",0,"non-Powerhouse","outofstate",0,NA,1,1,1,1,0,4
"740","Harrison SR","Greenhill","Octas",31,3,"Harrison","female",115.5,0,"Texas","New York","2016",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"741","Harrison SR","Princeton","Semis",2,6,"Harrison","female",118.1,0,"New Jersey","New York","2016",0,"non-Powerhouse","outofstate",0,1,1,1,1,0,-1,3
"742","HarSou CS","UT","Semis",184,1,"Harlingen South","male",83,0,"Texas","Texas","2018",1,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"743","Harvard Westlake CC","Apple Valley","Octas",1,7,"Harvard-Westlake","male",148,1,"Minnesota","California","2016",1,"Powerhouse","outofstate",0,NA,1,1,1,0,-1,2
"744","Harvard Westlake CE","Apple Valley","Octas",17,5,"Harvard-Westlake","male",146,1,"Minnesota","California",NA,1,"Powerhouse","outofstate",0,NA,0,-1,-1,-1,-1,-4
"745","Harvard Westlake EE","Apple Valley","Octas",23,5,"Harvard-Westlake","male",145.4,1,"Minnesota","California",NA,1,"Powerhouse","outofstate",0,NA,0,-1,-1,-1,-1,-4
"746","Harvard Westlake NS","Apple Valley","Octas",2,7,"Harvard-Westlake","male",146.6,1,"Minnesota","California","",1,"Powerhouse","outofstate",0,NA,1,1,0,-1,-1,0
"747","Harvard-Westlake CC","Glenbrooks","Octas",24,5,"Harvard-Westlake","male",146,1,"Illinois","California","2016",1,"Powerhouse","outofstate",0,NA,0,-1,-1,-1,-1,-4
"748","Harvard-Westlake CC","Greenhill","Octas",1,6,"Harvard-Westlake","male",117.4,1,"Texas","California","2016",1,"Powerhouse","outofstate",0,NA,1,1,1,1,1,5
"749","Harvard-Westlake CC","Loyola","Semis",3,5,"Harvard-Westlake","male",116.7,1,"California","California","2016",1,"Powerhouse","instate",1,NA,1,1,1,1,1,5
"750","Harvard-Westlake CC","Meadows","Quarters",3,5,"Harvard-Westlake","male",121.63,1,"Nevada","California","2016",1,"Powerhouse","outofstate",0,NA,1,1,1,0,-1,2
"751","Harvard-Westlake CE","Alta","Quarters",8,5,"Harvard-Westlake","male",116.3,1,"Utah","California","2017",1,"Powerhouse","outofstate",0,NA,1,1,1,1,0,4
"752","Harvard-Westlake CE","Glenbrooks","Octas",65,4,"Harvard-Westlake","male",143.7,1,"Illinois","California","2017",1,"Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"753","Harvard-Westlake CE","Greenhill","Octas",27,4,"Harvard-Westlake","male",113.8,1,"Texas","California","2017",1,"Powerhouse","outofstate",0,NA,0,-1,-1,-1,-1,-4
"754","Harvard-Westlake CE","Holy Cross","Finals",2,6,"Harvard-Westlake","male",174.4,1,"Louisianna","California","2017",1,"Powerhouse","outofstate",0,NA,NA,1,1,0,-1,1
